slide	CellProlif_20um	DiffState_20um	DiffStateHRStatus_20um	HRStatus_20um	ImmuneFunc_20um	ImmuneType_20um	MainStromal_20um	StromalType_20um	Tcell_Immune_20um	TumorProlif_20um	celltype_20um	proliferation_20um
NP001	0.668516381679195	0.16024219839933432	0.7733649634280192	0.6771480067950714	0.463662327170283	0.3206585054041244	0.3044398456153061	0.368911954829485	0.23689700245854345	0.5697981453052533	0.6474463184778371	0.02765274966433793
NP002	0.7751385255910366	0.11162561725465563	0.4749470948181943	0.3998769041458895	0.5951584953522645	0.3934385612620884	0.443699830607724	0.4722829439005977	0.3234023193704572	1.3211603945744175	0.5152736475249147	0.3128681333397478
NP003	1.0172539281595152	0.5136539602216219	0.5150533928509948	0.001845678989509868	0.6568128242141439	0.3820548081220612	0.1182616441622544	0.12479699265787358	0.3502701545575409	0.7531651172776621	0.7084583309785781	0.4253764273208921
NP004	0.771952798234325	0.6222345117527287	0.6237388516226418	0.0022182887936155185	0.38753329656218777	0.28020125275081437	0.24575950515529954	0.27165660883102605	0.1633006088342184	0.5912259932926965	0.5830109350937467	0.24646984620241985
NP005	0.40213356488578955	0.009021792429961113	0.08098216052890696	0.07196036809894583	0.07626047371050766	0.040092972933610575	0.04741423249080476	0.05152740597803596	0.055227497263469046	0.6011904476261019	0.3236501587832867	0.1040712968739319
NP006	0.6463479953799599	0.38604190570933417	0.866517020363097	0.6753775844519689	0.8563094501988161	0.4930032756536707	0.14924710225414242	0.15637731191864426	0.7613303411494614	0.8028563279119915	0.6134952057989461	0.04714247076614122
NP007	0.9045059194816268	0.11293622015327177	0.18336250844831714	0.08165844698885456	0.29419146220866577	0.17913177731293503	0.4053806247398679	0.46665228275339976	0.2203907245272292	1.0605644211432168	0.6271685362028907	0.3602459763351681
NP008	0.7142942243707787	0.015334587745838783	0.17338386409929055	0.16078645728035462	0.30307946452167617	0.2421187370256659	0.07520388793295381	0.07606616466400798	0.25030169409807934	0.9263546881843862	0.6510892721699364	0.08108373460948509
NP009	0.5952027277953346	0.012482187001332794	0.2634527763154739	0.25575179755800687	0.1302734643028747	0.10521499191068028	0.1499657195216286	0.15900749688950866	0.0196078431372549	1.1659550244527226	0.44504473721884225	0.1850578817419687
NP010	0.5586478538894571	0.012855289378536616	0.24925860470227482	0.2424434270236102	0.18116850460200934	0.11551835292597043	0.17412110454451568	0.1820019321493963	0.15819143085343934	1.162446048939534	0.4691484306815167	0.10520846970801268
NP011	0.6213327165597423	0.0365424573824588	0.6239167779572208	0.596781926996035	0.968035286053179	0.7284666284246356	0.08900017412747548	0.08999215272160734	0.9288418454759164	0.797500163536597	0.5814551167403148	0.0700013495546989
NP012	0.9440057952765626	0.013803284840310131	0.04279118973702071	0.03091481411506879	0.9530601759562465	0.5937595401011103	0.3336679098467051	0.3739789633115047	0.6941025430684841	0.9062805607189871	0.7240885549477016	0.30763956504510626
NP013	0.9402682665931542	0.1676665448374174	0.23620378102853876	0.07624774394839731	0.7403439386188344	0.3211841692792673	0.17550142844754846	0.18469211738507155	0.5570451668731188	1.0223199101670173	0.7317007316667632	0.29348120928918653
NP014	0.8678717351126919	0.11375573472338316	0.1722845153642225	0.06280323557346577	0.7420810796169381	0.25400174994815145	0.18100252297389982	0.1942671536217951	0.5447592534663069	0.9229340581433861	0.6637155231459225	0.2687310318048354
NP015	0.6635907995389841	0.08155198601462654	0.08946433027521423	0.011903934088057226	0.6454537326157609	0.3165951142093784	0.19977318188363663	0.2207519774678297	0.5832586151213676	0.7522802013537178	0.28091886805734956	0.4435716674842523
NP016	0.6344314543606518	0.23469234650633106	0.26439323867148923	0.03920844719823995	0.4170916453494786	0.2707699801918858	0.3904151555723755	0.39710603112847925	0.2811571805511418	0.45549495210575813	0.4074664525120125	0.2482985514484809
NP017	1.0615218452983133	0.12487560481281049	0.8113392314561783	0.7435717549507173	0.7938302437666716	0.4320492637430846	0.19949425009007218	0.21461204436511358	0.5886793076520752	1.081371127695031	0.7014994955787824	0.4764832103265163
NP018	0.9192193990215739	0.0717085887362314	0.580598234442814	0.5254583798993419	0.41117255463613805	0.25841199817520205	0.16147748438441656	0.16595089525117984	0.24494942100728898	0.5867146417539228	0.753721671245829	0.21961666243414776
NP019	0.962334725544351	0.050839537980567555	0.6289051041516456	0.5812632209628814	0.6933477985137982	0.08588571887194711	0.04620135506375814	0.04788887812998627	0.6010008828278359	0.8311329714283783	0.5960092347177057	0.4789026500547484
NP020	0.6168358442632997	0.06680438030027422	0.4526272264859856	0.38984471237442914	0.07286623358127087	0.006349206349206349	0.12205611588013351	0.12744600746875087	0.07250125805571046	0.17022009841505556	0.5863668856708945	0.037294125615543766
NP021	0.766450959326048	0.031461500225989626	0.22924839150576323	0.20165558689348684	0.27457055267445807	0.19910387413634292	0.30254346295478	0.3090787365255562	0.11830649632890015	1.5782751136385178	0.31393531200421265	0.48300340796006686
NP022	0.44396465405756436	0.059779189908763554	0.321330263254917	0.27553392337239724	0.2187912443156369	0.1937798023969925	0.08520134851255724	0.08549494804279796	0.10133933355791105	0.582978176823874	0.4302379577951678	0.015421084483787175
NP023	0.605698683206561	0.07591073944608229	0.22523152306414057	0.15736299193849537	0.44229785338954797	0.35479661363358567	0.06405544694469908	0.06675547709781648	0.2233387651608854	0.46056683132913245	0.4400143728492793	0.18052648460294385
NP024	0.5236019431805358	0.04884491486438196	0.24554121119604003	0.20931822713156342	0.21367174453575755	0.18534525630988155	0.2750362353257909	0.28212096240611956	0.16732386574474717	0.5944321028958766	0.47109189748057667	0.055708684288365444
NP025B	0.356992511821754	0.0290748073231531	0.2239896640884301	0.1965495349988376	0.35855339770475114	0.370608712347729	0.01881956853795751	0.019101339837064395	0.284160219126616	0.6423821770206855	0.35489965299109116	0.0026357548067693225
NP026	0.5314035543103267	0.0320199318173848	0.25340529384810584	0.22427294059413022	0.5026475340628503	0.3975131091253845	0.11939758539535066	0.1353362616963587	0.22163158661419663	0.5926761878951702	0.46170175457320534	0.1159487611133507
NP027	0.7627853414991803	0.036934266551743845	0.10322852399742269	0.08026828912699871	0.3293802881105708	0.22644664387268987	0.1769327323949133	0.19942380710914703	0.28837551621410634	0.9054922793154669	0.5586868372325762	0.2760624607490382
NP028	0.9232202762550685	0.11763642552177615	0.22402207913726907	0.13816206684530322	0.5672752411782667	0.3277918165259709	0.11880346198391178	0.12743363321144005	0.41737819661336545	0.9260911015429939	0.6259521041524734	0.4173256687607858
NP029	0.9084690786978509	0.030435880882434558	0.13753369147994066	0.11110809627936587	0.5036958617098577	0.3318188274860092	0.08633392086271088	0.08747845816177814	0.27741570249478276	1.0219326731885414	0.7902665160747088	0.16636217953573024
NP030B	0.5744984640159503	0.043978829699151456	0.1400719885513516	0.10043655965228436	0.4448816165076211	0.3939265108799957	0.1209075990943663	0.12191403046273164	0.4675702397059871	1.0675767165015573	0.48557073258345024	0.15988928564016888
NP031	0.28693669519269294	0.14661928539401606	0.32806863895124366	0.20871288815033529	0.18038142481144784	0.18160733018981648	0.23589884532601435	0.24942976853097848	0.0717399029698746	0.3107835463198898	0.27665964381767333	0.013458897083903298
NP032	0.5268227000884574	0.032095475901934394	0.42821516819118255	0.4005480502959192	0.13172897237814998	0.10807363534703082	0.05700839313831571	0.06111551040476358	0.04805051876772175	0.30871707353497757	0.4986122128121079	0.03685633563855256
NP033B	0.6761206886718788	0.1631563003201543	0.2774008233513751	0.12955162565205824	0.9588816174767086	0.46754306831089226	0.05097512296716105	0.05188537237549894	0.9180799617958532	0.6886167424007087	0.6389385970329127	0.17830990375319455
NP034	0.6738839762607035	0.16577510119819647	0.2038880731316547	0.04722341991766426	0.4171867373553227	0.43756286515830245	0.29228356528564947	0.3053346838216211	0.3667009225612992	0.5758801035382126	0.5747239892356004	0.13059413954145452
NP035	0.773240121548475	0.30821033914696816	0.4045927936517994	0.1270877563808548	0.5582414739312824	0.11569441448285914	0.1039398200710819	0.1109239732459564	0.4237857256219575	0.6061891620891178	0.6175580182205909	0.2547736936578742
NP036	0.8477256692095366	0.15709055130325503	0.31787300396284546	0.17580786132127074	0.9153011900066449	0.4641212611085734	0.20482196366033753	0.21858720565485695	0.7303552098933817	0.6374601513717567	0.5937001279624026	0.36406805504576206
